what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1672904266243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1672904280355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1672904283029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1672904285733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1672904291065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1672904292942
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1672904299060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904301354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904303273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904308706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904309912
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1672904310204
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904311871
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1672904312096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904317938
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904317987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904319425
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.debugPerspective",1672904319474
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1672904321824
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1672904321921
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.cPerspective",1672904350111
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904350114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1672904350151
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1672904350151
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1672904359258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904381925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904411607
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.debugPerspective",1672904434316
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904434329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1672904434347
executed,command,,,"com.altera.sbtgui.ui.debugPerspective",1672904434347
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1672904436307
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.cPerspective",1672904446671
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904446674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1672904446712
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1672904446712
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1672904448061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904450633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904451904
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1672904452193
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904453881
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1672904454106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904459863
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1672904459966
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904460088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904460970
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.debugPerspective",1672904461018
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1672904463799
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1672904463880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904517109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904532924
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904537472
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1672904544112
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.cPerspective",1672904548984
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904548989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1672904549025
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1672904549025
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1672904551892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904557659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904558932
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1672904559224
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904560903
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1672904561187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904566933
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1672904566972
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1672904567393
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1672904567437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904568369
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.debugPerspective",1672904568418
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1672904571064
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1672904571144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1672904599030
